productCode,productName,productCategory,quantityInStock,buyPrice,MSRP
PROD0059,Customizable object-oriented instruction set,Clothing,580,47.7,67.31
PROD0060,Assimilated didactic function,Books,339,418.98,714.74
PROD0061,Programmable composite time-frame,Toys,741,198.08,428.18
PROD0062,Versatile disintermediate interface,Home & Garden,54,48.43,105.05
PROD0063,Proactive needs-based open architecture,Electronics,348,57.87,86.91
PROD0064,Expanded neutral strategy,Books,406,306.53,612.45
PROD0065,Pre-emptive dedicated infrastructure,Toys,279,484.77,787.41
PROD0066,Re-contextualized scalable core,Clothing,364,393.94,703.46
PROD0067,Digitized disintermediate monitoring,Clothing,696,280.99,474.33
PROD0068,Ameliorated 5thgeneration firmware,Books,302,297.08,503.28
PROD0069,Team-oriented disintermediate installation,Electronics,274,401.05,853.05
PROD0070,Function-based leadingedge hierarchy,Toys,157,85.57,181.85
PROD0071,Programmable fault-tolerant installation,Electronics,93,372.43,600.24
PROD0072,Operative even-keeled model,Home & Garden,779,12.55,20.09
PROD0073,Optional user-facing matrices,Clothing,441,142.19,195.12
PROD0074,Universal encompassing attitude,Sports,105,229.93,441.73
PROD0075,Object-based discrete matrix,Electronics,611,22.87,37.97
PROD0076,Visionary background capacity,Sports,12,303.04,491.46
PROD0077,Automated impactful emulation,Electronics,742,153.01,260.75
PROD0078,Customer-focused logistical groupware,Clothing,585,451.56,1073.25
PROD0079,Monitored composite orchestration,Clothing,142,265.34,554.8
PROD0080,Organic mission-critical initiative,Clothing,64,141.77,219.59
PROD0081,Automated bottom-line firmware,Home & Garden,495,91.93,143.3
PROD0082,Multi-channeled multimedia framework,Clothing,738,393.51,656.95
PROD0083,Adaptive multimedia benchmark,Clothing,468,316.27,623.67
PROD0084,Customizable value-added time-frame,Sports,340,62.42,99.63
PROD0085,Future-proofed eco-centric website,Home & Garden,450,422.39,715.47
PROD0086,Configurable holistic intranet,Toys,997,174.02,393.31
PROD0087,Enhanced needs-based budgetary management,Books,970,301.25,479.16
PROD0088,Triple-buffered fault-tolerant structure,Clothing,987,350.69,639.21
PROD0089,Extended tangible implementation,Toys,711,205.14,331.28
PROD0090,Cloned asynchronous instruction set,Clothing,333,320.12,786.88
PROD0091,Public-key homogeneous capability,Sports,373,194.27,439.33
PROD0092,Customer-focused fault-tolerant info-mediaries,Books,558,65.81,127.21
PROD0093,Assimilated dedicated implementation,Electronics,975,98.16,215.75
PROD0094,Compatible background model,Clothing,448,366.33,888.67
PROD0095,Robust composite initiative,Electronics,838,400.87,914.25
PROD0096,User-friendly value-added adapter,Toys,511,425.42,950.2
PROD0097,Managed global Graphical User Interface,Home & Garden,674,78.2,124.63
PROD0098,Triple-buffered responsive flexibility,Sports,75,85.53,149.68
PROD0099,Multi-tiered grid-enabled firmware,Books,410,230.04,454.86
PROD0100,Enhanced user-facing infrastructure,Toys,428,271.84,652.56
