customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,city,state,country,creditLimit,customerSegment
69,Good Group,Emily,Stephens,+1-363-237-5243,033 Craig Bypass Suite 903,South Scottside,IL,Saudi Arabia,27747.97,SMB
70,Taylor LLC,Jim,Hendricks,001-559-895-3428,0892 Peters Causeway Suite 685,Russellport,MS,Colombia,88410.91,Enterprise
71,"Wells, Atkinson and Turner",Jasmine,Shaffer,6865688263,175 Amanda Village Apt. 046,Port Charlesshire,VA,Paraguay,13137.08,Individual
72,"Robinson, Clark and Meadows",Kevin,Stout,731.673.9363,8544 Hunt Parks Suite 175,West Lawrence,AZ,Mongolia,82522.21,SMB
73,Figueroa Inc,Jose,Donovan,001-564-923-5369,7772 Jackson Stravenue Suite 280,Port Melanieton,WV,Albania,17197.19,Individual
74,Taylor-Mccoy,Carlos,Hernandez,287.250.9977,08484 Wayne Square Suite 211,East James,NC,El Salvador,94950.62,SMB
75,Adams-Sanders,Nathan,Sullivan,001-833-941-0166,021 Bruce Rue,Arielville,MH,Marshall Islands,30180.38,Individual
76,Hall Ltd,Paige,Alvarez,5144890250,42939 Rhodes Plains Suite 621,Brianchester,IN,Taiwan,96614.48,SMB
77,Peterson PLC,Stephanie,Sanders,001-350-647-7358x66296,114 Norman Tunnel,Lake Peter,MN,Botswana,72730.15,Individual
78,Smith LLC,Sean,Juarez,821-326-7888,58199 Shields Bridge,Robertland,VA,United Arab Emirates,99539.19,Startup
79,"Stein, Spence and Armstrong",Gavin,James,(644)847-2126,1543 Wheeler Flat Suite 124,South Martinfurt,AS,Tokelau,46619.51,Individual
80,Alexander-Jordan,Madison,Curtis,+1-924-559-3752x654,4651 Brittany Plains Apt. 807,South Lauren,MP,Puerto Rico,16495.4,SMB
81,Fuentes Group,Emily,Taylor,834-226-6179x7968,891 Kayla Shoals Suite 290,Rasmussenmouth,WY,Jersey,11082.46,Enterprise
82,Smith LLC,Jeffrey,Burgess,+1-499-737-5679,1461 Marie Stream,West Larry,NH,Slovenia,60889.33,SMB
83,Boyd LLC,Thomas,Kim,001-475-414-0105x123,673 Soto Ferry Suite 609,South Brittany,MS,Albania,60901.81,Enterprise
84,"Lewis, Ramirez and Padilla",Laura,Ray,+1-725-853-7147,155 Williamson Via Suite 991,West David,ME,Brazil,11744.34,Enterprise
85,Brooks and Sons,William,Barnes,(496)962-7828,25790 Crane Oval Apt. 368,Ortizfort,MT,Russian Federation,26749.47,Enterprise
86,Burns-Miller,Anthony,Juarez,304-638-4279x7881,078 Veronica Cove Apt. 407,Michaelland,NV,Tonga,86665.36,Enterprise
87,Rowe and Sons,Jason,Rojas,001-659-462-9233x095,449 Farley Passage Apt. 260,Michelleberg,UT,Tonga,53844.83,Startup
88,Wright Ltd,Marc,Wright,+1-767-929-4667x11684,9017 Horn Underpass Suite 363,Adamsport,MA,Mexico,68552.89,SMB
89,"Anderson, Phelps and Kramer",Patricia,Farmer,8175012770,424 Diamond Glen,West Elizabethburgh,AR,Indonesia,56227.22,Individual
90,"Torres, Lyons and Young",Diana,Padilla,2372129387,62713 Davis Valley Apt. 155,Derrickberg,SD,Philippines,28084.74,Individual
91,Jones PLC,Alan,Santos,853.726.9731x121,2341 Angela Rapid Suite 043,Lake Peter,SD,Austria,81712.21,SMB
92,Simpson Inc,John,Little,780-455-2696,09104 Bill Circle Suite 848,Hendersonfurt,CO,Northern Mariana Islands,13960.95,Individual
93,"Medina, Hernandez and Miller",Christian,Mccall,(285)569-1463,1799 Kyle Streets,North Alexander,DC,Reunion,38658.27,Individual
94,Martin LLC,Alexandra,Logan,001-642-352-4105x6481,8507 Michael Glens Apt. 913,North Micheletown,IA,Aruba,49367.34,Enterprise
95,Cox-Mora,Harold,Horne,3867353654,023 Stephanie Cliff,Clineport,MD,Benin,68969.63,Enterprise
96,"Bryant, Wood and Carter",Kristen,Stevenson,275.897.3832,85050 Sweeney Stream,Daltonhaven,IA,Italy,10758.2,Startup
97,Woodward-Kaufman,Douglas,Ramirez,4388657191,906 Joel Green,Sarafurt,UT,Switzerland,81056.29,Enterprise
98,"Nguyen, Chavez and Hall",Sherry,Taylor,001-991-621-2775x61853,1124 Jason Walks Suite 213,Randyton,TX,French Southern Territories,28622.35,SMB
99,Wilkins-Thompson,Stephanie,Bond,+1-283-517-1210,65199 Lowery Club,North Jamesmouth,AS,Brunei Darussalam,55947.15,SMB
100,Stein LLC,David,Dunlap,4297667066,44720 Deborah Parks,Andradefort,AR,Benin,45078.76,Startup
101,Reyes-Barnes,Dawn,Robles,780.865.7875,05930 Brown Mountains Suite 932,East Dianeview,ND,Suriname,48949.67,Enterprise
102,"Brown, Davies and Robinson",Meghan,Salinas,(422)539-5590x599,427 Christopher Fort Apt. 087,West Samanthaborough,AS,Bulgaria,47097.42,Enterprise
103,Love-Sellers,Megan,Morris,8293218515,5226 Banks Extensions Suite 392,Parkerport,DC,Christmas Island,9805.89,Enterprise
104,"Smith, Miles and Berry",Melissa,Townsend,001-902-495-9391,135 Jackson Corners Suite 704,East Heather,MI,Equatorial Guinea,97054.64,SMB
105,Le Inc,Paul,Oconnor,(567)465-8617,04054 Charles Extension Suite 218,West Brookefort,VT,Antarctica (the territory South of 60 deg S),20799.56,Individual
106,Dunlap-Martin,Pamela,Moore,653-536-8844,69872 Michael Meadow,West Madisonfort,ID,Bhutan,50729.05,Individual
107,Clark Ltd,Kelly,Miller,446-777-4186,2704 Marshall Fork Suite 902,North Elizabethside,MT,Saudi Arabia,90732.07,SMB
108,"Perez, Brown and Hughes",Alexandra,Sheppard,+1-479-337-4160x89899,23320 Miller Springs Suite 329,Luisland,CO,Iceland,41002.45,Individual
109,"Sanders, Nguyen and Hill",Stephen,Marks,001-399-386-1622x999,8564 Pena Ports,Johnsonview,MO,Cambodia,30194.29,Individual
110,"Franklin, Steele and Williams",Pamela,Rivera,607.945.0544,24754 Jacobs Corners,South Jason,GU,Ireland,32098.68,Individual
111,"Washington, Black and Brooks",Brian,Moody,548-562-8902,07053 Richardson Mountain,Reidville,TX,Antarctica (the territory South of 60 deg S),19705.7,Startup
112,Watson PLC,Sean,Horne,598.555.2414x0602,346 Michelle Trafficway,South Rhondaburgh,PA,Spain,25681.59,Enterprise
113,Walker PLC,Linda,Torres,001-846-365-7437x489,589 Evans Coves,Brownview,SC,Greece,60022.13,Enterprise
114,Green-Dawson,Patricia,Evans,(983)609-6520,6609 Matthew Station Apt. 875,Meganside,HI,French Polynesia,76057.68,Enterprise
115,Ruiz Ltd,Jonathan,Stokes,001-925-313-5346x55494,99917 Vincent Ways Suite 846,Port Melissaberg,ID,Guam,9763.52,Individual
116,Benitez-Orozco,Valerie,Thomas,001-421-475-2500x743,29666 Sanford Lights Apt. 083,Stephaniemouth,WV,Syrian Arab Republic,52770.79,SMB
117,"Lee, Rhodes and Sims",John,Steele,(642)916-8942x104,2575 Frederick Valleys Suite 033,East Jessica,OR,Madagascar,10403.56,Enterprise
118,Martinez Ltd,Debra,Johnson,+1-848-390-9010x0167,2304 Stanley Shore Suite 992,Rivasville,NY,Saint Helena,85877.54,Enterprise
119,"Wilson, Wilson and Rodriguez",James,Gonzalez,783-556-4208x737,11972 Kimberly Club,West Dawnmouth,LA,Estonia,61528.34,SMB
120,Williams-Li,Morgan,Phelps,(656)311-0022x557,2166 Nelson Lights Suite 621,Lake Jessica,PR,Cayman Islands,43358.68,SMB
121,Perry PLC,Timothy,Carroll,929.265.9027x716,5089 Tiffany Skyway,Aprilville,NE,Panama,59997.31,Enterprise
122,"Wright, Reed and Rhodes",Paul,Combs,+1-390-902-8772,54083 Powell Freeway Apt. 779,Millerfort,NV,Germany,63841.24,Individual
123,Hooper Ltd,Denise,Garcia,(708)280-1994x88375,5899 Moran Lakes,Wilsonbury,AL,Guam,67450.45,Startup
124,Gallegos-Brandt,Kelly,Boyd,001-310-827-2614x933,3516 Sara Villages,Port Patriciamouth,TN,Namibia,93797.09,SMB
125,"Taylor, Porter and Moreno",Brandon,Mcconnell,001-778-829-2216,346 Waller Mission Apt. 269,Meganside,VI,Germany,68623.97,Startup
126,"Doyle, Spencer and Robinson",Jason,Klein,+1-652-828-8515x87996,106 Brian Centers,West Karen,GA,France,27675.17,Individual
127,"King, Franco and Vaughn",Kenneth,Molina,5576198386,6658 Alexander Glen,New Misty,VI,Trinidad and Tobago,17433.44,Startup
128,Greer-Pruitt,Janet,Holland,001-898-293-3472x12281,8422 Smith Mountain Apt. 025,Port Sarahport,NM,Somalia,48436.33,Enterprise
129,"Pierce, Jones and Zimmerman",Alicia,Krueger,718.626.8861x53355,878 Danny Key,Allenbury,AZ,Pitcairn Islands,5884.97,Enterprise
130,James-Hogan,Daniel,Scott,001-340-385-8877x0435,801 Ellen Trail,Port Gina,MP,Bosnia and Herzegovina,11959.77,SMB
131,Medina Ltd,Natalie,Figueroa,(512)607-5011x02481,7665 Perry Crest Apt. 919,Lake Melaniestad,NY,Botswana,53059.05,SMB
132,Buchanan-Turner,Christopher,Hubbard,466.607.2832x684,88210 Ashley Lock Apt. 435,South Rebecca,PR,Malaysia,93659.64,Enterprise
133,Martin and Sons,Christina,King,329-608-7814,97552 Craig River,East Louismouth,MA,Nicaragua,88530.67,Startup
134,"Torres, Silva and Cunningham",Michael,Stewart,(720)653-3645x25777,129 Meagan Walks Apt. 834,Lake Charlestown,PR,Madagascar,32073.8,Individual
135,"Johnson, Perkins and Sullivan",Brittany,Escobar,+1-648-487-2563,816 Shaw Shore Apt. 928,South Erik,OK,Yemen,84205.77,Startup
136,"Hopkins, Faulkner and Fitzgerald",Timothy,Howard,773.814.5303,0051 Davenport Greens Apt. 665,New Johnbury,NC,Iraq,63109.39,Enterprise
137,Roth-Reed,Laura,Eaton,5824723184,59136 Cortez Orchard,Mendozashire,GA,Oman,68447.0,Startup
138,Johnson-Williams,Ashley,Martin,+1-280-692-0242x8699,79772 Maria Rapid,Port Brandi,WI,Cocos (Keeling) Islands,93516.82,Enterprise
139,"Keller, Baker and Ramsey",Matthew,Chavez,001-813-466-2103,79908 Christopher Shoals,New Amber,AL,Ukraine,94198.35,SMB
140,"Banks, Boyd and Wood",Bradley,Moreno,676.959.9162,49864 Adam Summit,New Alexandrahaven,AL,Honduras,30124.26,Enterprise
141,"Harris, Brock and Ortiz",Daniel,Simmons,001-844-586-9594,872 Hansen Orchard Suite 495,Fitzgeraldville,WA,Denmark,75529.58,SMB
142,Logan-Avery,Craig,Romero,689-502-6012x79611,90669 Dawson Ranch Apt. 277,East Melissahaven,LA,Congo,30873.08,SMB
143,Bowers PLC,Zachary,Hall,(705)830-2146,380 Samantha Plaza Suite 895,Sylviaview,IN,New Caledonia,73173.16,SMB
144,Gibson Group,Bailey,Green,(981)881-8451x84894,57790 Wilson Cliff Suite 335,Moseshaven,ND,Algeria,70312.23,Startup
145,"Collier, Wright and Davis",Emily,Nicholson,482-575-5394,333 Clark Flats Apt. 952,North Samanthafort,RI,Albania,53013.86,Startup
146,"Rubio, Charles and Watson",Leslie,Villanueva,001-447-228-4639,8085 Dalton Trail Apt. 718,Stewarttown,AL,Peru,91006.97,Enterprise
147,Gray Inc,Mark,Salazar,828-543-4795x527,556 Hayes Ports Apt. 931,Lindaside,NE,Togo,13768.35,Individual
148,Gonzalez-Marsh,Joanna,Kennedy,6266728857,1203 Woods Roads,South Julieview,MN,Guyana,83788.07,Enterprise
149,"Grant, Patrick and Cooper",Robert,Bell,+1-893-699-8245x58771,225 Welch Ports Suite 112,Jeremymouth,SD,French Guiana,5336.84,SMB
150,"Adams, Newman and Nelson",Sean,Roy,(598)476-2202x341,11780 Kelli Pine Apt. 149,North Diana,FM,Iceland,65525.77,Startup
151,Perez-Rojas,Scott,Martinez,420.905.5778x48728,845 Fernandez Valley Apt. 745,Greenport,AL,Afghanistan,20350.29,Individual
152,"Ochoa, Charles and Cooper",Taylor,Smith,874.806.4930x8536,66341 Garrett Path,Justinside,AS,Ethiopia,57409.64,Individual
153,Lopez-Jones,Derrick,Rodriguez,297.449.7350x208,4270 Christopher Bridge,Robinsonchester,ME,Solomon Islands,58286.15,Enterprise
154,Bolton-Ford,Lacey,Rivera,001-520-846-1872x34601,03718 Thomas Springs Suite 520,West Timothyport,ID,Guyana,12148.17,SMB
155,Boyer and Sons,Teresa,Young,(450)724-9163x00979,27195 Brian Rue,Lake Amanda,CT,Brunei Darussalam,56831.08,Startup
156,Hall-Holden,Kristina,Sherman,930.565.2407x784,557 Dillon Rapid,North Amanda,NV,French Polynesia,60338.41,SMB
157,Weaver-Gibson,Kimberly,Hunter,001-920-495-9351x8638,6511 Bradley Curve Apt. 031,Leeton,OK,Norway,45829.74,Enterprise
158,Barrett-Fox,Jacqueline,Scott,(839)710-3717x058,480 Mary Club,New Colton,VA,Djibouti,34284.54,Enterprise
159,"Cruz, Lee and Sandoval",Ashley,Meza,+1-486-419-5761,528 Mahoney Island Suite 566,Charleneshire,ND,Croatia,90397.84,SMB
160,Cannon-Howe,Jonathan,Nixon,560.504.9082x404,48889 Clinton Mount Suite 224,Pamelabury,IN,Equatorial Guinea,69796.34,Enterprise
161,Davis-Ross,Samantha,Navarro,001-257-727-9194x0961,6139 Cynthia Roads Suite 048,West Amberberg,MD,Macao,38599.47,Individual
162,"Walker, Williams and Dennis",Philip,Griffin,+1-998-213-6462x251,1686 Kathleen Orchard Apt. 769,New Christina,WA,Malta,97514.52,SMB
163,Allen LLC,Kimberly,Morris,001-711-266-5535,59792 Williams Viaduct Apt. 352,North Jodibury,RI,Vanuatu,92947.56,SMB
164,Melton LLC,Alexander,Benson,547-670-5383,206 Jonathan Circle Suite 394,South Dianatown,CA,Iceland,87137.54,SMB
165,"Nelson, Christian and Keller",Michelle,Smith,+1-963-268-1579x8123,84576 Andrew Spur,Michaelport,IA,Macao,88734.54,Enterprise
166,Cain-Garrett,Natasha,Zamora,8845325621,92649 Cole Curve Apt. 298,Port Devin,UT,Romania,22039.26,Startup
167,"Browning, Jordan and Stout",Kayla,Douglas,001-425-218-8125,6474 Kimberly Coves Apt. 209,Catherinebury,PA,Djibouti,79326.72,Individual
168,Mcdaniel LLC,Christopher,Chan,(489)475-2677,06046 Julia Flats,North Gregory,NV,Tonga,81212.34,SMB
169,"Burns, Nguyen and Ellis",John,Sullivan,2963569998,0388 Terrell Canyon Suite 803,Scottport,WI,Sweden,30346.54,Enterprise
170,Murray-Henderson,Christie,Brown,927.271.8129x82665,9371 Nguyen Run,Lake Jessica,CO,Brazil,41341.46,Enterprise
171,"Cole, Cox and Mills",Patrick,Moody,292.868.6025x92222,7421 Susan Alley Suite 077,Stephenstown,PA,Turkmenistan,86566.36,SMB
172,Young-Chapman,Thomas,Ortiz,599-203-8498,05020 Rivera Corners,North Robertburgh,GA,Peru,23959.42,Individual
173,Carr-Holt,Brooke,Cobb,(879)350-1455,147 David Wall Suite 586,Lake Jason,AR,Botswana,38217.55,SMB
174,"Blair, Fuller and Benitez",Timothy,Barker,001-946-995-4899x529,93430 Andrew Road Apt. 396,Williamsstad,OH,Sri Lanka,26177.74,SMB
175,"Lewis, Davidson and Vaughn",Jonathan,Jones,588-750-1556x9902,770 Timothy Road Suite 857,Reillyton,MP,Mali,42854.27,Startup
176,Cunningham-Gregory,Angela,Smith,001-455-812-4056,145 Joseph Corners,Wileystad,NV,Switzerland,87113.53,Startup
177,Robinson-Turner,Daniel,Glover,001-731-478-0782x35784,230 Hughes Way,North Larryton,TX,Thailand,38358.88,Individual
178,"Wiggins, Cook and Small",Dakota,Miranda,001-940-394-3533x4485,24109 Jamie Keys Suite 424,East Charles,RI,Uganda,69554.22,Startup
179,Fernandez-Williams,Anthony,Berger,9167016629,3817 Christopher Unions Suite 174,Ruizbury,FL,Tokelau,94227.53,Enterprise
180,"Scott, Cox and White",Samantha,Rivera,477-301-7157x72459,158 Laura Place Suite 696,New John,GA,Liberia,88318.65,Startup
181,Jones-Clark,Heather,Reynolds,(395)983-2197x19975,6191 Murphy Rue,North Jeffberg,FM,Mozambique,21963.94,Startup
182,"Pacheco, Sherman and Guerrero",Shawn,Carter,+1-297-833-5494x651,0580 Jacqueline View,Danielport,VI,Antarctica (the territory South of 60 deg S),8634.43,Individual
183,Reynolds PLC,Phillip,Flores,(866)468-3272x3865,220 Deborah Divide Suite 621,Lake Linda,VI,Korea,37840.28,Startup
184,"Munoz, Simmons and White",William,Arnold,665.832.6909x738,09751 Nixon Common Apt. 847,New Pamelaland,IA,Latvia,46457.42,Enterprise
185,"Harmon, Horne and Miller",Cynthia,Yates,790-658-0778x7956,09494 Crystal Prairie Apt. 904,West Toddberg,NY,Belarus,41593.57,SMB
186,King-Gilbert,Joshua,Scott,001-219-729-2752x4372,92766 Donna Stream,East Becky,MP,Guatemala,29198.64,Individual
187,May Inc,Brian,Marshall,647.983.6674x2860,580 Samantha Route Suite 694,Josephville,KS,Palau,5160.67,SMB
188,"Myers, Mejia and Curry",Jessica,Chapman,285.825.8001,175 Jessica Glen,North Andrew,CO,Azerbaijan,39601.04,Enterprise
189,"Douglas, Houston and Sampson",Danielle,Erickson,619-626-9212,174 Schwartz Shores Suite 421,Kimberlyfurt,MS,Grenada,95143.08,Startup
190,Scott LLC,Gregory,Jones,596.327.1286,410 Chad Stream Suite 707,Lake Danielle,AZ,Papua New Guinea,64199.76,Enterprise
191,Adams-Graves,Rebecca,Andrews,777.766.1830x67198,0158 Miller Mount Suite 328,South Donnaport,UT,Iceland,73376.65,Startup
192,Mccoy LLC,Tom,Mcclure,632.903.0937x618,05050 Wilson Valley Suite 829,North Benjamin,FL,Liechtenstein,53176.64,Individual
193,"Smith, Meadows and Montgomery",John,Banks,3203417929,9931 Ronald Valleys,Nguyenshire,ND,Burundi,35987.38,Startup
194,Copeland-Mcguire,Kathryn,Watkins,411-342-6258x27390,07100 Sara Squares Suite 672,East Danielle,NC,Korea,57669.19,SMB
195,Allen-Thompson,Heather,Carlson,001-379-714-5608x331,3403 Laura Spur,Jimenezburgh,TN,Uzbekistan,44942.4,Individual
