orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
112,2023-03-08,2023-03-14,Cancelled,829,687.52,Bank Transfer
113,2023-05-06,2023-05-09,Cancelled,52,881.55,Debit Card
114,2024-02-09,2024-02-19,Shipped,392,3431.9,PayPal
115,2023-12-29,2024-01-04,Processing,282,1435.28,PayPal
116,2023-02-05,2023-02-17,Pending,632,1266.63,Bank Transfer
117,2024-05-25,2024-06-03,Pending,491,351.85,Bank Transfer
118,2024-01-28,2024-02-02,Cancelled,205,3231.13,PayPal
119,2024-10-07,2024-10-18,Shipped,392,3920.48,Bank Transfer
120,2024-05-06,2024-05-17,Cancelled,353,4567.75,Bank Transfer
121,2024-02-02,2024-02-09,Processing,27,1628.44,PayPal
122,2023-01-31,2023-02-07,Shipped,829,4958.08,Bank Transfer
123,2024-08-21,2024-08-27,Processing,103,1276.89,PayPal
124,2023-09-30,2023-10-11,Shipped,783,4982.14,PayPal
125,2024-08-12,2024-08-21,Delivered,958,4204.15,PayPal
126,2023-06-30,2023-07-06,Pending,326,4040.74,Bank Transfer
127,2024-08-28,2024-08-31,Delivered,971,2859.87,PayPal
128,2024-07-30,2024-08-05,Cancelled,556,1579.81,Debit Card
129,2023-02-08,2023-02-12,Shipped,239,3028.23,Credit Card
130,2024-06-23,2024-07-03,Shipped,340,4593.59,PayPal
131,2023-05-14,2023-05-22,Processing,941,4022.0,Bank Transfer
132,2023-03-02,2023-03-05,Processing,601,3538.25,PayPal
133,2023-04-24,2023-05-05,Delivered,984,409.03,Debit Card
134,2024-08-23,2024-08-27,Delivered,310,1646.89,PayPal
135,2024-03-23,2024-04-05,Cancelled,665,1620.55,Bank Transfer
136,2023-08-17,2023-08-30,Pending,835,917.99,Bank Transfer
137,2024-12-06,2024-12-13,Processing,182,3657.71,Debit Card
138,2024-08-04,2024-08-07,Processing,617,1625.17,PayPal
139,2024-10-16,2024-10-28,Shipped,960,2506.12,Bank Transfer
140,2023-03-21,2023-03-27,Delivered,328,881.04,Credit Card
141,2024-12-26,2025-01-08,Delivered,458,106.41,PayPal
142,2023-09-13,2023-09-27,Shipped,359,1320.46,Credit Card
143,2023-01-02,2023-01-05,Cancelled,449,3676.29,PayPal
144,2024-02-28,2024-03-09,Cancelled,360,2752.82,Credit Card
145,2024-05-05,2024-05-17,Processing,167,2283.87,Credit Card
146,2023-10-29,2023-11-01,Delivered,268,4760.73,Credit Card
147,2023-12-17,2023-12-22,Cancelled,165,3673.33,Credit Card
148,2023-12-13,2023-12-25,Pending,915,2439.55,Credit Card
149,2024-03-17,2024-03-30,Processing,622,4454.28,PayPal
150,2023-02-24,2023-02-28,Delivered,211,4873.27,Debit Card
151,2024-12-14,2024-12-25,Pending,272,3319.96,Bank Transfer
152,2023-09-01,2023-09-05,Shipped,403,2880.26,Debit Card
153,2023-06-07,2023-06-10,Delivered,4,2166.65,Bank Transfer
154,2024-11-08,2024-11-21,Pending,492,1038.39,Credit Card
155,2023-07-31,2023-08-05,Delivered,84,2394.17,Credit Card
156,2023-11-12,2023-11-21,Cancelled,501,4479.64,Bank Transfer
157,2023-04-04,2023-04-17,Pending,397,965.16,Debit Card
158,2024-01-14,2024-01-19,Cancelled,46,1353.32,Debit Card
159,2023-09-27,2023-10-03,Delivered,578,355.11,Credit Card
160,2023-03-29,2023-04-11,Delivered,828,2730.17,PayPal
161,2024-07-20,2024-07-23,Cancelled,839,2636.78,Debit Card
162,2024-08-09,2024-08-15,Cancelled,307,440.83,Credit Card
163,2024-05-29,2024-06-10,Pending,820,2878.85,PayPal
164,2023-05-04,2023-05-14,Processing,972,4922.62,PayPal
165,2023-07-17,2023-07-22,Shipped,434,437.92,Debit Card
166,2023-07-26,2023-08-08,Processing,855,2995.49,Bank Transfer
167,2023-03-10,2023-03-14,Cancelled,570,2016.91,Bank Transfer
168,2023-10-10,2023-10-21,Cancelled,940,4373.66,Debit Card
169,2023-04-26,2023-05-05,Processing,152,2854.64,Credit Card
170,2023-04-19,2023-05-01,Shipped,805,1466.16,Bank Transfer
171,2024-02-25,2024-03-03,Cancelled,671,2453.64,Debit Card
172,2023-02-08,2023-02-13,Delivered,413,762.07,Debit Card
173,2023-02-09,2023-02-18,Delivered,708,1226.02,Debit Card
174,2023-10-03,2023-10-11,Shipped,346,4096.06,Bank Transfer
175,2023-11-15,2023-11-22,Cancelled,879,3496.11,Credit Card
176,2023-08-22,2023-08-27,Delivered,998,3731.43,Bank Transfer
177,2023-10-03,2023-10-17,Cancelled,620,3245.5,PayPal
178,2024-03-28,2024-04-03,Cancelled,759,2448.08,Bank Transfer
179,2023-02-27,2023-03-10,Processing,68,1590.06,Debit Card
180,2023-05-19,2023-05-30,Pending,30,910.0,PayPal
181,2023-03-01,2023-03-07,Shipped,468,300.27,Bank Transfer
182,2024-12-22,2024-12-28,Delivered,378,4126.36,Debit Card
183,2024-10-12,2024-10-16,Shipped,248,1893.71,Debit Card
184,2023-07-01,2023-07-11,Pending,565,1781.31,PayPal
185,2023-09-22,2023-10-06,Shipped,292,185.88,Credit Card
186,2023-06-16,2023-06-28,Processing,878,1145.69,PayPal
187,2024-11-24,2024-11-30,Delivered,668,2077.06,Credit Card
188,2024-11-29,2024-12-02,Cancelled,934,704.95,PayPal
189,2024-09-07,2024-09-10,Processing,259,3061.3,Bank Transfer
190,2024-12-30,2025-01-13,Delivered,434,4482.64,Bank Transfer
191,2024-04-15,2024-04-22,Processing,478,1545.62,Debit Card
192,2024-08-21,2024-08-25,Shipped,524,4997.18,Bank Transfer
193,2024-07-28,2024-08-10,Pending,624,1449.25,Credit Card
194,2024-05-08,2024-05-12,Delivered,284,3220.94,Bank Transfer
195,2023-09-25,2023-10-08,Delivered,193,792.15,PayPal
196,2023-02-28,2023-03-12,Cancelled,677,1631.95,PayPal
197,2023-01-27,2023-02-09,Cancelled,303,1334.16,Debit Card
198,2024-02-19,2024-02-28,Shipped,598,3554.94,PayPal
199,2023-12-18,2024-01-01,Processing,703,2696.44,Debit Card
200,2024-11-18,2024-11-26,Pending,308,4234.83,PayPal
201,2023-10-28,2023-11-01,Cancelled,132,3717.55,PayPal
202,2024-11-27,2024-12-05,Shipped,228,1808.65,Bank Transfer
203,2024-03-06,2024-03-14,Delivered,267,2948.57,Debit Card
204,2023-05-01,2023-05-11,Shipped,888,3190.26,Credit Card
205,2024-04-28,2024-05-04,Pending,123,4344.11,Debit Card
206,2024-06-26,2024-07-03,Cancelled,56,4360.7,PayPal
207,2023-05-21,2023-05-27,Delivered,420,4936.6,Debit Card
208,2023-05-27,2023-06-04,Processing,798,450.02,Bank Transfer
209,2024-10-08,2024-10-13,Delivered,650,337.17,Debit Card
210,2023-10-08,2023-10-14,Processing,591,3834.19,Debit Card
211,2023-04-01,2023-04-06,Pending,445,3185.76,Debit Card
212,2024-03-15,2024-03-25,Cancelled,5,236.74,PayPal
213,2024-01-18,2024-01-21,Delivered,776,4174.48,PayPal
214,2023-01-19,2023-02-01,Shipped,642,3681.34,PayPal
215,2024-12-11,2024-12-19,Delivered,133,558.41,Bank Transfer
216,2023-06-21,2023-06-25,Shipped,306,4744.89,Debit Card
217,2024-06-16,2024-06-28,Pending,346,2196.64,PayPal
218,2023-12-17,2023-12-27,Delivered,769,982.71,Debit Card
219,2023-01-20,2023-01-26,Processing,745,4925.15,PayPal
220,2023-01-23,2023-02-04,Pending,174,659.65,Credit Card
221,2024-01-20,2024-02-02,Delivered,790,2696.93,Credit Card
222,2024-08-31,2024-09-03,Shipped,670,4188.79,Credit Card
223,2024-12-07,2024-12-11,Cancelled,455,1932.26,Bank Transfer
224,2024-04-30,2024-05-14,Processing,211,3491.2,Credit Card
225,2023-11-05,2023-11-14,Shipped,679,2625.53,PayPal
226,2024-03-04,2024-03-08,Pending,737,3107.6,Bank Transfer
227,2023-04-27,2023-05-01,Cancelled,204,3064.56,Bank Transfer
228,2024-06-19,2024-06-25,Delivered,721,2078.29,PayPal
229,2023-02-10,2023-02-21,Cancelled,933,1078.09,Debit Card
230,2023-12-05,2023-12-11,Shipped,14,3374.58,Credit Card
231,2024-08-10,2024-08-23,Cancelled,153,4749.76,Credit Card
232,2023-04-14,2023-04-21,Processing,468,4943.9,Bank Transfer
233,2023-09-28,2023-10-08,Shipped,103,4075.23,Credit Card
234,2023-10-25,2023-11-02,Delivered,437,3705.77,Credit Card
235,2023-02-16,2023-02-19,Processing,680,3253.63,Bank Transfer
236,2024-01-02,2024-01-12,Pending,275,4398.45,Credit Card
237,2024-01-17,2024-01-25,Processing,117,2033.85,Debit Card
238,2023-10-06,2023-10-15,Cancelled,820,2137.61,PayPal
239,2023-04-26,2023-05-01,Shipped,966,4229.53,Credit Card
240,2024-03-02,2024-03-14,Cancelled,822,2866.27,Debit Card
241,2023-07-05,2023-07-17,Cancelled,798,1825.06,Credit Card
242,2024-12-01,2024-12-15,Processing,495,4605.97,Credit Card
243,2024-02-26,2024-03-07,Shipped,65,1344.98,Bank Transfer
244,2023-01-13,2023-01-27,Pending,786,3730.94,PayPal
245,2024-11-16,2024-11-24,Pending,536,3456.8,Credit Card
246,2024-03-19,2024-04-01,Processing,494,1761.46,Debit Card
247,2023-06-02,2023-06-13,Pending,56,107.64,PayPal
248,2024-06-01,2024-06-11,Cancelled,891,868.75,Debit Card
249,2023-11-25,2023-12-01,Delivered,994,1426.88,PayPal
250,2024-07-17,2024-07-30,Cancelled,413,4094.66,Credit Card
251,2024-04-15,2024-04-25,Pending,459,485.7,Debit Card
252,2024-04-02,2024-04-10,Shipped,510,3738.93,Credit Card
253,2023-04-16,2023-04-25,Cancelled,37,2807.8,Credit Card
254,2023-04-04,2023-04-16,Pending,653,1557.76,PayPal
255,2024-11-01,2024-11-14,Cancelled,974,1737.23,Credit Card
256,2023-08-17,2023-08-27,Delivered,574,3848.71,Debit Card
257,2024-11-03,2024-11-11,Cancelled,117,532.31,PayPal
258,2023-01-03,2023-01-11,Delivered,850,3186.62,Bank Transfer
259,2024-07-14,2024-07-25,Delivered,719,576.3,PayPal
260,2024-05-19,2024-05-24,Cancelled,110,1308.73,PayPal
261,2023-07-12,2023-07-16,Cancelled,221,2312.38,PayPal
262,2023-12-13,2023-12-17,Cancelled,48,4636.8,Credit Card
263,2024-04-06,2024-04-16,Pending,980,2545.78,Debit Card
264,2023-01-05,2023-01-16,Shipped,567,4679.78,Debit Card
265,2024-06-04,2024-06-09,Pending,178,3665.95,PayPal
266,2023-04-17,2023-04-26,Pending,621,4419.34,Debit Card
267,2024-03-04,2024-03-16,Processing,281,2019.46,Bank Transfer
268,2023-10-29,2023-11-08,Processing,142,2093.09,Bank Transfer
269,2024-12-19,2024-12-30,Delivered,729,3697.25,PayPal
270,2023-07-25,2023-07-31,Pending,732,1488.37,Bank Transfer
271,2024-11-19,2024-11-24,Processing,516,2735.33,Bank Transfer
272,2024-12-28,2025-01-01,Delivered,576,2427.83,Debit Card
273,2024-11-21,2024-12-05,Pending,293,4393.51,Debit Card
274,2023-01-14,2023-01-25,Shipped,26,1935.31,Credit Card
275,2024-11-17,2024-11-20,Processing,274,3763.42,PayPal
276,2023-10-21,2023-11-03,Delivered,150,4204.94,Bank Transfer
277,2023-07-28,2023-08-08,Shipped,368,4079.43,Credit Card
278,2024-09-22,2024-10-05,Pending,886,1160.32,Debit Card
279,2023-09-01,2023-09-12,Delivered,710,3339.24,Debit Card
280,2024-02-01,2024-02-10,Delivered,990,2783.02,Credit Card
281,2023-09-15,2023-09-21,Pending,890,3915.58,Debit Card
282,2023-08-19,2023-09-01,Delivered,774,2962.51,PayPal
283,2023-07-18,2023-07-25,Cancelled,182,4918.09,Credit Card
284,2023-07-11,2023-07-16,Pending,123,1917.13,Debit Card
285,2023-10-13,2023-10-24,Delivered,134,846.6,Bank Transfer
286,2023-01-06,2023-01-14,Cancelled,727,4690.6,Credit Card
287,2023-06-07,2023-06-15,Pending,53,3879.62,Bank Transfer
288,2024-05-17,2024-05-29,Pending,367,410.76,Bank Transfer
289,2024-06-22,2024-06-28,Processing,534,387.47,PayPal
290,2024-03-01,2024-03-12,Pending,414,505.13,PayPal
291,2023-08-07,2023-08-20,Delivered,340,1835.95,PayPal
292,2024-09-25,2024-10-06,Cancelled,575,4127.26,Credit Card
293,2023-04-28,2023-05-11,Delivered,457,1239.72,PayPal
294,2023-02-10,2023-02-23,Delivered,391,4583.87,Credit Card
295,2024-01-31,2024-02-07,Pending,742,1450.0,Bank Transfer
296,2024-06-10,2024-06-21,Cancelled,499,267.07,PayPal
297,2023-11-25,2023-12-06,Shipped,971,524.98,Credit Card
298,2024-10-03,2024-10-07,Processing,687,3166.1,PayPal
299,2024-12-02,2024-12-11,Shipped,211,2711.88,Debit Card
300,2024-10-24,2024-10-28,Processing,25,2323.16,Bank Transfer
301,2023-02-08,2023-02-12,Shipped,56,931.06,Bank Transfer
302,2024-07-25,2024-07-29,Pending,842,1176.85,Bank Transfer
303,2024-02-22,2024-03-02,Cancelled,646,2052.02,Bank Transfer
304,2023-01-18,2023-01-27,Shipped,548,79.2,Credit Card
305,2024-08-22,2024-08-25,Shipped,367,4643.84,Credit Card
306,2023-10-24,2023-11-06,Delivered,622,478.2,Debit Card
307,2024-01-26,2024-02-04,Shipped,486,823.8,PayPal
308,2023-05-20,2023-06-03,Cancelled,816,3997.55,Bank Transfer
309,2024-10-11,2024-10-16,Delivered,694,4440.54,Bank Transfer
310,2023-01-12,2023-01-23,Pending,145,660.01,Credit Card
311,2024-08-09,2024-08-21,Cancelled,551,2760.25,Credit Card
312,2023-11-09,2023-11-15,Delivered,217,2092.64,PayPal
313,2023-06-14,2023-06-19,Processing,632,4182.0,PayPal
314,2023-04-28,2023-05-03,Pending,873,319.22,Debit Card
315,2024-10-22,2024-11-02,Shipped,298,3374.84,Bank Transfer
316,2023-04-11,2023-04-17,Pending,499,4760.12,Bank Transfer
317,2023-05-12,2023-05-25,Processing,103,1461.43,Credit Card
318,2023-07-18,2023-07-26,Cancelled,462,1675.31,Bank Transfer
319,2024-12-11,2024-12-23,Processing,580,2855.97,Bank Transfer
320,2024-03-14,2024-03-19,Shipped,321,1268.57,PayPal
321,2024-12-30,2025-01-13,Cancelled,284,4208.54,PayPal
322,2024-11-26,2024-12-10,Delivered,899,2425.77,Debit Card
323,2024-01-03,2024-01-10,Cancelled,565,588.72,Credit Card
324,2023-10-15,2023-10-20,Pending,202,1353.01,Credit Card
325,2023-03-19,2023-03-22,Pending,647,204.41,Debit Card
326,2024-08-27,2024-09-02,Shipped,565,1340.05,Debit Card
327,2024-10-31,2024-11-05,Delivered,402,1155.37,Bank Transfer
328,2023-05-18,2023-05-28,Pending,523,498.24,Bank Transfer
329,2024-05-29,2024-06-01,Processing,869,4821.8,PayPal
330,2024-06-10,2024-06-15,Cancelled,164,936.77,PayPal
331,2024-05-10,2024-05-18,Shipped,225,3819.29,PayPal
332,2023-03-06,2023-03-13,Delivered,240,261.9,PayPal
333,2024-06-14,2024-06-22,Cancelled,481,4593.61,Credit Card
334,2023-02-10,2023-02-23,Delivered,106,3533.49,Bank Transfer
335,2023-09-27,2023-10-09,Pending,584,910.56,Debit Card
336,2024-01-10,2024-01-22,Shipped,530,1295.35,PayPal
337,2024-06-12,2024-06-21,Delivered,837,4345.21,Debit Card
338,2024-05-08,2024-05-20,Shipped,514,4416.07,Debit Card
339,2023-06-19,2023-06-25,Shipped,527,3235.21,PayPal
340,2023-06-03,2023-06-08,Processing,371,3030.0,Credit Card
341,2024-11-07,2024-11-13,Cancelled,831,1684.61,Credit Card
342,2024-05-08,2024-05-21,Cancelled,491,1092.98,PayPal
343,2024-10-24,2024-11-02,Shipped,250,263.56,PayPal
344,2023-05-18,2023-05-31,Pending,41,4459.45,PayPal
345,2023-02-27,2023-03-04,Delivered,945,941.19,Debit Card
346,2024-09-05,2024-09-17,Shipped,900,3611.76,Bank Transfer
347,2023-03-29,2023-04-04,Cancelled,622,4964.24,Debit Card
348,2023-06-24,2023-06-30,Cancelled,616,756.43,PayPal
349,2024-09-30,2024-10-13,Pending,271,880.22,Bank Transfer
350,2024-04-09,2024-04-21,Pending,71,1187.58,Debit Card
351,2023-05-16,2023-05-20,Shipped,208,2637.42,Debit Card
352,2023-06-03,2023-06-15,Shipped,182,2405.55,Credit Card
353,2024-06-28,2024-07-09,Shipped,96,2437.09,PayPal
354,2024-09-09,2024-09-20,Shipped,919,4691.79,Debit Card
355,2024-06-18,2024-06-27,Delivered,896,265.02,Debit Card
356,2023-08-23,2023-09-02,Cancelled,359,2965.79,Credit Card
357,2024-03-11,2024-03-16,Delivered,489,3841.0,Credit Card
358,2023-10-18,2023-10-30,Pending,419,1326.13,Credit Card
359,2024-12-27,2025-01-10,Shipped,592,2636.58,Credit Card
360,2024-01-20,2024-02-02,Processing,705,4031.22,Debit Card
361,2024-01-06,2024-01-10,Processing,437,3275.3,Bank Transfer
362,2023-09-25,2023-10-06,Cancelled,579,1859.94,Bank Transfer
363,2024-11-27,2024-12-06,Processing,424,2782.92,Debit Card
364,2023-07-03,2023-07-11,Pending,569,2444.61,Bank Transfer
365,2024-08-14,2024-08-22,Cancelled,754,733.44,Credit Card
366,2023-08-24,2023-09-03,Processing,103,1111.57,Debit Card
367,2023-12-13,2023-12-24,Pending,714,3438.59,Credit Card
368,2023-06-14,2023-06-23,Shipped,824,500.89,PayPal
369,2024-04-27,2024-05-09,Cancelled,91,367.2,PayPal
370,2024-01-15,2024-01-19,Pending,39,3636.25,Debit Card
371,2024-09-20,2024-10-03,Pending,294,3572.45,Credit Card
372,2023-06-29,2023-07-12,Cancelled,450,103.02,Bank Transfer
373,2023-07-19,2023-07-22,Pending,523,2603.28,PayPal
374,2024-09-21,2024-09-26,Shipped,369,1234.32,Credit Card
375,2023-06-11,2023-06-15,Delivered,799,2027.2,Debit Card
376,2024-02-20,2024-03-03,Processing,531,126.06,Credit Card
377,2023-04-03,2023-04-14,Delivered,744,4157.34,Bank Transfer
378,2023-12-22,2023-12-29,Processing,621,4817.13,Debit Card
379,2024-02-18,2024-03-01,Shipped,268,916.42,Credit Card
380,2024-07-26,2024-07-30,Pending,302,1732.83,Credit Card
381,2024-06-09,2024-06-16,Pending,833,3977.28,Bank Transfer
382,2024-12-11,2024-12-21,Cancelled,577,2443.97,PayPal
383,2023-12-14,2023-12-24,Cancelled,919,2954.79,Credit Card
384,2024-05-08,2024-05-12,Delivered,70,1944.23,PayPal
385,2024-11-24,2024-12-08,Processing,820,1612.87,Bank Transfer
386,2024-06-12,2024-06-23,Shipped,718,4169.28,PayPal
387,2023-10-22,2023-10-26,Cancelled,690,3756.5,Bank Transfer
388,2023-03-19,2023-03-30,Processing,488,1603.67,PayPal
389,2024-08-10,2024-08-17,Processing,970,3743.47,PayPal
390,2024-05-25,2024-06-08,Processing,241,3690.37,Bank Transfer
391,2023-07-31,2023-08-06,Processing,855,1285.99,Bank Transfer
392,2023-06-09,2023-06-13,Shipped,943,438.51,Debit Card
393,2024-09-20,2024-09-23,Pending,981,259.2,Debit Card
394,2024-01-16,2024-01-28,Delivered,505,4495.7,Bank Transfer
395,2024-05-17,2024-05-22,Pending,287,2019.5,PayPal
396,2023-02-25,2023-03-08,Cancelled,490,4701.29,Credit Card
397,2024-05-29,2024-06-06,Cancelled,882,3447.38,PayPal
398,2024-04-13,2024-04-17,Pending,472,1612.47,Credit Card
399,2023-01-13,2023-01-26,Processing,389,2925.99,Bank Transfer
400,2024-01-06,2024-01-18,Delivered,192,2765.39,PayPal
401,2023-10-03,2023-10-13,Pending,352,1861.32,Debit Card
402,2024-03-10,2024-03-16,Cancelled,718,3773.37,Bank Transfer
403,2024-02-15,2024-02-22,Cancelled,185,2878.48,PayPal
404,2023-04-13,2023-04-27,Delivered,824,1217.24,Debit Card
405,2024-01-26,2024-02-01,Processing,820,4797.78,PayPal
406,2024-04-29,2024-05-02,Processing,432,2523.01,Bank Transfer
407,2024-05-13,2024-05-20,Delivered,576,4299.58,Credit Card
408,2024-02-12,2024-02-16,Processing,62,1116.56,Bank Transfer
409,2024-05-02,2024-05-15,Shipped,461,3735.74,Bank Transfer
410,2024-01-05,2024-01-13,Pending,571,4662.63,Bank Transfer
411,2023-12-19,2023-12-22,Cancelled,125,1787.9,PayPal
